date	United States	China	Japan	Germany	United Kingdom	France	Brazil	Italy	India	Russia	Canada	Australia	Korea	Spain	Mexico	Indonesia	Netherlands	Turkey	Saudi Arabia	Switzerland	Nigeria	Sweden	Poland	Argentina	Belgium	Taiwan Province of China	Norway	Austria	Islamic Republic of Iran	Thailand	United Arab Emirates	Colombia	South Africa	Denmark	Malaysia	Singapore	Israel	Hong Kong SAR	Egypt	Philippines	Finland	Chile	Ireland	Pakistan	Greece	Portugal	Iraq	Kazakhstan	Algeria	Qatar
1/1/92	3.555	14.3	0.819	1.508	0.447	1.6	-0.467	0.773	5.482	n/a	0.854	2.652	6.175	0.851	3.541	6.523	1.706	5.984	4.629	-0.133	3.209	-0.975	2.033	10.299	1.531	8.293	3.575	2.094	3.298	9.23	3.095	4.353	-2.137	1.958	8.886	7.088	7.155	6.235	0.3	0.338	-3.325	12.209	3.579	7.57	0.7	3.13	n/a	n/a	1.6	11.33
1/1/93	2.746	13.9	0.171	-0.979	2.646	-0.613	4.665	-0.888	4.75	-8.7	2.607	3.95	6.847	-1.314	2.25	7.956	1.256	8.042	0.026	-0.181	4.835	-1.958	4.287	6.251	-0.962	6.802	2.845	0.527	-1.471	8.675	-0.029	5.71	1.234	0.008	9.896	11.537	3.771	6.201	2.9	2.116	-0.734	6.926	2.314	2.097	-1.6	-0.687	n/a	-9.2	-2.102	-1.324
1/1/94	4.038	13.081	0.864	2.527	4.025	2.345	5.335	2.152	6.659	-12.7	4.554	4.888	9.206	2.335	4.727	7.54	2.96	-5.456	0.665	1.333	3.552	4.088	5.239	5.836	3.227	7.494	5.055	2.402	-1.698	7.997	7.363	5.147	3.234	5.332	9.211	10.925	7.011	6.036	4.188	4.388	3.94	5.666	5.894	4.369	2	1.489	n/a	-12.58	-0.9	1.418
1/1/95	2.719	11	1.942	1.815	2.53	2.085	4.417	2.337	7.575	-4.1	2.738	2.955	9.571	4.122	-5.759	8.22	2.564	7.19	0.201	0.54	2.236	4.024	6.728	-2.845	2.385	6.501	4.154	2.668	2.401	8.12	6.58	5.202	3.116	3.033	9.83	7.028	9.654	2.374	4.484	4.679	4.206	10.487	9.593	5.062	2.1	2.307	n/a	-8.2	3.848	2.399
1/1/96	3.796	9.9	2.61	0.859	2.667	1.388	2.19	1.287	7.55	-3.608	1.68	4.298	7.595	2.421	5.875	7.818	3.562	7.007	3.384	0.569	7.606	1.518	6.239	5.527	1.551	6.175	5.028	2.398	6.351	5.652	5.34	2.056	4.307	2.895	10.002	7.532	6.157	4.258	4.879	5.846	3.658	7.357	9.269	6.599	2.955	3.497	n/a	0.5	3.8	4.375
1/1/97	4.487	9.2	1.596	1.902	2.553	2.337	3.388	1.836	4.05	1.381	4.253	4.164	5.922	3.865	6.963	4.7	4.297	7.528	2.593	2.29	5.298	2.9	7.086	8.111	3.743	6.113	5.285	2.205	1.35	-2.754	8.553	3.43	2.647	3.264	7.327	8.291	4.082	5.1	5.919	5.185	6.253	6.606	11.178	1.703	4.463	4.426	n/a	1.7	1.1	30.012
1/1/98	4.45	7.833	-2.003	1.776	3.511	3.556	0.355	1.617	6.184	-5.345	4.138	4.866	-5.471	4.469	4.702	-13.127	4.531	3.092	2.835	2.888	5.15	4.227	4.982	3.85	2.006	4.211	2.624	3.56	2.08	-7.634	0.791	0.57	0.517	2.218	-7.359	-2.225	4.252	-5.883	7.543	-0.577	5.428	3.267	8.913	3.494	4.058	4.792	n/a	-1.9	5.098	11.218
1/1/99	4.685	7.62	-0.199	1.845	3.151	3.407	0.49	1.561	8.463	6.351	4.997	4.243	11.309	4.745	2.667	0.791	5.048	-3.365	-0.748	1.622	2.8	4.53	4.524	-3.385	3.716	6.717	2.013	3.59	2.003	4.572	3.751	-4.204	2.358	2.946	6.131	6.095	3.737	2.507	6.11	3.082	4.444	-0.709	10.762	4.184	3.074	3.888	n/a	2.7	3.2	4.284
1/1/00	4.092	8.431	2.257	3.194	3.769	3.875	4.383	3.71	3.975	10.046	5.123	3.087	8.924	5.053	5.296	4.979	4.245	6.774	4.865	4.11	7.701	4.735	4.26	-0.789	3.55	6.421	3.205	3.368	5.846	4.456	12.329	2.925	4.155	3.752	8.671	8.898	8.942	7.663	5.383	4.411	5.635	4.469	10.229	3.906	3.967	3.788	n/a	9.8	3.8	8.028
1/1/01	0.976	8.3	0.355	1.843	2.665	1.954	1.279	1.773	4.944	5.091	1.688	2.574	4.525	4.004	-0.605	3.643	2.128	-5.697	0.548	1.446	7.035	1.563	1.205	-4.409	0.924	-1.26	2.085	1.351	2.392	3.444	1.849	1.678	2.735	0.822	0.518	-0.952	0.242	0.561	3.524	2.894	2.581	3.342	5.833	1.97	3.737	1.943	n/a	13.5	3	3.898
1/1/02	1.786	9.082	0.29	0.016	2.452	1.118	3.072	0.251	3.907	4.744	2.802	3.997	7.432	2.88	0.132	4.499	0.103	6.164	0.128	0.148	6.898	2.074	1.443	-10.895	1.559	5.575	1.438	1.656	8.079	6.149	2.433	2.504	3.668	0.467	5.391	4.212	-0.068	1.657	3.186	3.646	1.68	2.17	5.937	3.112	3.162	0.769	n/a	9.8	5.6	7.182
1/1/03	2.807	10.025	1.685	-0.733	4.3	0.82	1.223	0.153	7.944	7.253	1.925	3.021	2.933	3.186	1.423	4.78	0.285	5.265	8.288	0.081	11.889	2.386	3.562	8.837	0.89	4.121	0.92	0.756	8.639	7.189	8.801	3.918	2.949	0.388	5.789	4.435	1.177	3.056	3.193	4.97	1.994	3.387	3.842	4.726	6.638	-0.934	n/a	9.3	7.2	3.72
1/1/04	3.785	10.085	2.361	0.703	2.454	2.786	5.661	1.583	7.849	7.151	3.139	4.036	4.9	3.17	4.296	5.031	2.028	9.363	8.62	2.692	8.791	4.321	5.136	9.03	3.434	6.506	3.959	2.706	4.337	6.289	9.567	5.333	4.555	2.642	6.783	9.549	5.114	8.7	4.092	6.698	3.926	6.797	4.405	7.483	4.952	1.812	n/a	9.6	4.3	19.219
1/1/05	3.345	11.31	1.303	0.878	2.807	1.608	3.149	0.95	9.285	6.387	3.163	3.214	3.924	3.717	3.033	5.693	2.156	8.402	7.256	3.075	8.677	2.818	3.547	9.226	1.894	5.416	2.625	2.141	4.209	4.188	4.855	4.707	5.277	2.431	4.976	7.489	4.39	7.388	4.472	4.778	2.781	6.305	6.334	8.958	0.891	0.767	1.675	9.7	5.9	7.493
1/1/06	2.666	12.677	1.693	3.879	3.042	2.375	3.999	2.006	9.264	8.153	2.622	2.655	5.176	4.177	5.001	5.501	3.52	6.893	5.577	4.087	8.327	4.688	6.193	8.375	2.63	5.623	2.395	3.351	5.704	4.968	9.837	6.698	5.604	3.8	5.584	8.86	5.802	7.033	6.844	5.243	4.055	5.825	6.309	5.82	5.815	1.553	5.638	10.7	1.684	26.17
1/1/07	1.779	14.162	2.192	3.383	2.556	2.361	6.006	1.474	9.801	8.535	2.008	4.52	5.463	3.769	3.148	6.345	3.696	4.669	5.992	4.15	9.061	3.405	7.202	7.966	3	6.517	2.93	3.621	9.116	5.435	3.184	6.901	5.36	0.821	6.299	9.112	6.135	6.465	7.088	6.617	5.185	5.207	5.543	5.537	3.538	2.492	1.889	8.9	3.373	17.986
1/1/08	-0.292	9.635	-1.042	0.805	-0.332	0.195	5.019	-1.05	3.891	5.248	1.175	2.671	2.829	1.117	1.4	7.442	1.708	0.659	8.427	2.22	8.014	-0.557	3.92	3.075	0.953	0.704	0.384	1.547	0.924	1.726	3.192	3.547	3.191	-0.713	4.832	1.788	3.059	2.128	7.156	4.153	0.721	3.234	-2.162	4.988	-0.444	0.199	8.228	3.3	2.36	17.664
1/1/09	-2.776	9.2	-5.527	-5.565	-4.311	-2.941	-0.236	-5.481	8.48	-7.8	-2.711	1.575	0.708	-3.575	-4.7	4.702	-3.773	-4.826	1.829	-2.122	8.971	-5.185	2.634	0.05	-2.619	-1.567	-1.623	-3.799	2.315	-0.738	-5.243	1.652	-1.538	-5.089	-1.514	-0.603	1.269	-2.459	4.674	1.148	-8.269	-1.033	-5.638	0.361	-4.395	-2.978	3.379	1.2	1.632	11.957
1/1/10	2.532	10.6	4.711	3.945	1.911	1.966	7.572	1.711	10.26	4.5	3.374	2.25	6.497	0.017	5.11	6.378	1.401	9.157	4.762	2.889	9.969	5.989	3.699	9.452	2.501	10.631	0.602	1.929	6.577	7.507	1.635	3.972	3.04	1.622	7.528	15.24	5.517	6.768	5.147	7.632	2.992	5.74	0.399	2.581	-5.449	1.899	6.403	7.3	3.616	19.592
1/1/11	1.602	9.5	-0.454	3.718	1.645	2.079	3.916	0.587	6.638	4.3	2.96	2.722	3.682	-0.62	4.045	6.17	1.664	8.773	9.959	1.891	4.887	2.664	4.762	8.386	1.618	3.805	0.969	2.808	3.75	0.834	4.885	6.59	3.212	1.156	5.294	6.207	5.03	4.815	1.765	3.66	2.571	5.754	2.588	3.624	-8.864	-1.827	7.546	7.5	2.828	13.375
1/1/12	2.224	7.748	1.742	0.613	0.659	0.183	1.762	-2.77	5.081	3.4	1.923	3.6	2.292	-2.09	4.018	6.03	-1.057	2.127	5.384	1.097	4.279	-0.286	1.761	0.802	0.093	2.064	2.749	0.757	-6.609	7.323	7.222	4.044	2.22	-0.654	5.473	3.414	2.88	1.7	2.226	6.684	-1.426	5.525	0.151	3.837	-6.572	-4.028	13.936	5	2.608	4.88
1/1/13	1.489	7.685	1.588	0.406	1.665	0.656	2.744	-1.698	6.899	1.3	2.004	2.067	2.896	-1.228	1.387	5.579	-0.494	4.193	2.67	1.805	5.394	1.282	1.728	2.885	0.291	2.232	0.742	0.321	-1.912	2.809	4.321	4.936	2.212	-0.487	4.713	4.443	3.251	3.072	2.098	7.055	-1.121	4.31	1.434	3.653	-3.895	-1.605	6.572	6	2.8	4.582
1/1/14	2.428	7.3	-0.101	1.58	2.993	0.18	0.145	-0.426	7.286	0.6	2.439	2.731	3.31	1.389	2.141	5.025	1.013	2.914	3.468	1.869	6.31	2.278	3.444	0.465	1.066	3.771	2.209	0.353	4.343	0.866	4.57	4.553	1.525	1.084	5.993	2.918	2.554	2.501	2.163	6.132	-0.405	1.851	5.199	4.026	0.774	0.892	-2.118	4.3	3.8	3.978
1/1/15	2.568	6.813	0.591	1.509	2.517	1.16	-3.026	0.802	7.259	-3.825	1.041	2.373	2.661	3.07	2.312	4.66	1.797	3.044	3.43	0.995	3.957	2.75	3.528	0.411	1.341	2.241	0.871	0.766	0.827	2.494	2.998	2.498	1.397	1.585	4.7	2.202	2.538	2.521	4.194	6.002	0.396	2.269	4.846	4.239	-2.267	1.561	0.026	1.501	3.011	4.697
